AF7,TP9
869.5238037109375,784.1025390625
872.3442993164062,758.3150024414062
877.5823974609375,703.5164794921875
870.3296508789062,705.1282348632812
870.7326049804688,737.7655639648438
863.076904296875,798.2051391601562
864.2857055664062,780.0732421875
877.1795043945312,727.2893676757812
880.4029541015625,729.3040161132812
888.05859375,751.4652099609375
880.8058471679688,816.3369750976562
867.912109375,805.054931640625
874.3589477539062,749.047607421875
874.7619018554688,755.4945068359375
873.5531005859375,770.4029541015625
866.3003540039062,831.2454223632812
855.4212646484375,844.5421142578125
857.4359130859375,785.7142944335938
856.2271118164062,786.923095703125
859.8534545898438,803.4432373046875
851.7948608398438,846.959716796875
841.7216186523438,869.9267578125
848.974365234375,815.1282348632812
848.1685180664062,800.6226806640625
844.5421142578125,809.084228515625
839.3040161132812,856.6300659179688
832.8571166992188,895.7142944335938
841.7216186523438,844.1392211914062
846.5567626953125,821.97802734375
848.974365234375,830.03662109375
847.3626098632812,868.3150024414062
830.4395751953125,912.6373901367188
834.8717651367188,867.106201171875
845.7509155273438,841.3186645507812
848.1685180664062,853.4066162109375
848.974365234375,891.2820434570312
838.09521484375,949.3040161132812
831.6483764648438,906.996337890625
835.2747192382812,867.106201171875
836.4835205078125,874.3589477539062
839.3040161132812,901.3552856445312
835.6776733398438,955.7509155273438
841.3186645507812,926.3369750976562
848.974365234375,879.1941528320312
850.5860595703125,877.1795043945312
856.6300659179688,890.879150390625
854.2124633789062,946.886474609375
854.2124633789062,924.3223266601562
853.8095092773438,871.94140625
846.959716796875,869.120849609375
847.7655639648438,876.3735961914062
844.5421142578125,935.2014770507812
845.3479614257812,930.3662719726562
858.2417602539062,877.5823974609375
859.8534545898438,879.1941528320312
855.8241577148438,886.0439453125
846.959716796875,935.6043701171875
842.930419921875,937.6190185546875
852.1978149414062,882.0146484375
851.7948608398438,872.7472534179688
850.989013671875,874.7619018554688
845.3479614257812,923.113525390625
843.3333129882812,940.4395751953125
853.8095092773438,875.5677490234375
856.2271118164062,858.2417602539062
863.4798583984375,871.94140625
859.4505615234375,911.8314819335938
850.989013671875,938.02197265625
855.4212646484375,884.4322509765625
848.1685180664062,855.8241577148438
846.959716796875,859.8534545898438
847.3626098632812,898.937744140625
838.901123046875,931.1721801757812
844.1392211914062,871.1355590820312
853.4066162109375,846.1538696289062
860.6593627929688,853.8095092773438
861.062255859375,882.8204956054688
848.974365234375,932.3809814453125
852.1978149414062,885.2380981445312
856.6300659179688,848.974365234375
856.2271118164062,850.1831665039062
858.6447143554688,871.1355590820312
848.1685180664062,923.5164794921875
848.5714111328125,880.8058471679688
857.032958984375,839.3040161132812
856.6300659179688,848.1685180664062
858.6447143554688,866.3003540039062
850.1831665039062,919.084228515625
851.3919677734375,890.4761962890625
861.062255859375,837.6923217773438
857.8388061523438,839.3040161132812
859.047607421875,858.6447143554688
851.3919677734375,916.6666870117188
845.7509155273438,890.0732421875
852.1978149414062,823.1868286132812
857.8388061523438,822.3809814453125
863.076904296875,841.7216186523438
848.974365234375,896.5201416015625
845.7509155273438,888.8644409179688
856.2271118164062,825.6043701171875
855.8241577148438,823.5897216796875
857.8388061523438,836.886474609375
851.7948608398438,895.7142944335938
848.974365234375,905.3846435546875
849.3773193359375,828.4249267578125
846.1538696289062,814.3223266601562
855.8241577148438,827.6190185546875
851.3919677734375,877.9853515625
840.10986328125,904.5787353515625
844.1392211914062,842.930419921875
850.1831665039062,827.6190185546875
856.6300659179688,838.901123046875
